类型,词汇,频次
整体,糖尿病,1152
整体,病变,256
整体,胰岛素,234
整体,治疗,203
整体,疾病,202
整体,检查,188
整体,可能,166
整体,血糖,162
整体,症状,160
整体,患者,120
整体,诊断,113
整体,血管,109
整体,依赖型,105
整体,酸中毒,91
整体,糖尿病足,90
整体,酮症,83
整体,运动,75
整体,视网膜,72
整体,控制,66
整体,引发,60
整体,视力,58
整体,葡萄糖,54
整体,内分泌,52
整体,病因,50
整体,使用,50
整体,病程,48
整体,妊娠,47
整体,接受,46
整体,感觉,44
整体,避免,44
整体,预防,43
整体,下降,43
整体,建议,43
整体,皮肤,43
整体,诊疗,42
整体,具体,42
整体,相关,42
整体,依赖性,41
整体,状态,41
整体,溃疡,40
整体,方法,39
整体,检测,39
整体,程度,39
整体,损伤,38
整体,分泌,36
整体,增殖性,36
整体,无法,36
整体,疗法,35
整体,存在,34
整体,出血,34
问题,糖尿病,259
问题,疾病,70
问题,胰岛素,56
问题,病变,52
问题,症状,47
问题,治疗,39
问题,依赖型,31
问题,诊断,28
问题,糖尿病足,28
问题,依赖性,21
问题,检查,19
问题,可能,17
问题,酸中毒,17
问题,酮症,16
问题,方法,15
问题,患者,15
问题,内分泌,15
问题,原因,14
问题,英文名称,12
问题,病程,12
问题,预防,12
问题,乳腺,12
问题,病因,11
问题,相关,11
问题,主要症状,10
问题,诊疗,10
问题,属于,10
问题,注意,10
问题,具体,9
问题,进展,8
回答,糖尿病,893
回答,病变,204
回答,胰岛素,178
回答,检查,169
回答,治疗,164
回答,血糖,155
回答,可能,149
回答,疾病,132
回答,症状,113
回答,血管,106
回答,患者,105
回答,诊断,85
回答,依赖型,74
回答,运动,74
回答,酸中毒,74
回答,酮症,67
回答,视网膜,65
回答,糖尿病足,62
回答,控制,61
回答,引发,56
回答,视力,54
回答,葡萄糖,53
回答,使用,46
回答,妊娠,46
回答,下降,43
回答,建议,43
回答,皮肤,43
回答,感觉,42
回答,避免,42
回答,状态,41
