question,context
당뇨망막병증이란 무엇인가요?,당뇨망막병증의 카테고리: 눈질환
당뇨망막병증은 어떤 증상을 보이나요?,당뇨망막병증의 카테고리: 눈질환
당뇨망막병증의 치료 방법은 무엇이 있나요?,당뇨망막병증의 카테고리: 눈질환
What is the English name for 당뇨망막병증?,당뇨망막병증의 질환 영문명: Diabetic retinopathy
당뇨망막병증의 주요 증상은 무엇인가요?,"당뇨망막병증의 증상: 시력 감소,  황반부종,  사물이 찌그러져 보임,  광시증,  시야장애,  비문증"
당뇨망막병증으로 인한 황반부종은 어떤 증상을 유발하나요?,"당뇨망막병증의 증상: 시력 감소,  황반부종,  사물이 찌그러져 보임,  광시증,  시야장애,  비문증"
당뇨망막병증은 어떤 증상을 보이나요?,"당뇨망막병증의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  망막 박리,  당뇨망막병증,  유리체 출혈"
인슐린 의존성 당뇨병과 인슐린 비의존성 당뇨병은 어떤 차이가 있나요?,"당뇨망막병증의 관련 질환: 인슐린 의존성 당뇨병,  인슐린 비의존성 당뇨병,  망막 박리,  당뇨망막병증,  유리체 출혈"
당뇨망막병증을 진료하는 안과 전문의는 어떤 역할을 수행하나요?,당뇨망막병증의 진료과: 안과
당뇨망막병증이 발생하면 어떤 증상이 나타날 수 있나요?,당뇨망막병증의 진료과: 안과
당뇨망막병증과 당뇨망막증의 차이는 무엇인가요?,당뇨망막병증의 동의어: 당뇨망막증
당뇨망막병증은 어떤 질환인가요?,"당뇨망막병증의 정의: 당뇨망막병증은 망막의 미세혈관이 손상되는 질환으로, 당뇨병의 합병증 중에서 가장 무서운 질환입니다. 이는 세계 각국의 실명 원인 중에서 높은 비중을 차지하고 있습니다. 당뇨병 경력이 30년 또는 그 이상인 환자의 약 90%에게서 발생하며, 15년 전후일 경우에는 발병률이 약 60~70%에 이릅니다. 혈당 조절이 잘 안되는 경우 더욱 잘 발생합니다. 초기에는 망막병증이 있으면서도 별다른 증상이 없는 경우가 많기 때문에 정기적인 안과 진찰이 중요합니다."
당뇨망막병증은 어떤 환자들에게 주로 발생하나요?,"당뇨망막병증의 정의: 당뇨망막병증은 망막의 미세혈관이 손상되는 질환으로, 당뇨병의 합병증 중에서 가장 무서운 질환입니다. 이는 세계 각국의 실명 원인 중에서 높은 비중을 차지하고 있습니다. 당뇨병 경력이 30년 또는 그 이상인 환자의 약 90%에게서 발생하며, 15년 전후일 경우에는 발병률이 약 60~70%에 이릅니다. 혈당 조절이 잘 안되는 경우 더욱 잘 발생합니다. 초기에는 망막병증이 있으면서도 별다른 증상이 없는 경우가 많기 때문에 정기적인 안과 진찰이 중요합니다."
